Type,Date,Time,Latitude,Longitude,ParsedDate,ParsedTime,Datetime,hour,day_of_week,day_of_month,month,quarter,is_weekend,is_morning,is_afternoon,is_evening,is_night,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,lat_grid,lon_grid,crime_density,distance_to_center,crime_type_encoded,crime_severity,time_weighted_severity,historical_crime_count,is_high_risk,historical_high_risk_count,historical_avg_severity,risk_score,baseline_risk_score,neighborhood_cluster,night_time_risk,location_density_risk,hour_density,weekend_night,dist_to_center_density,lat_squared,lon_squared,lat_lon_prod
2 wheeler theft,7/11/2014,12:30:00 PM,12.92380368,77.55320498,2014-11-07 00:00:00,12:30:00,2014-11-07 12:30:00,12,4,7,11,4,0,0,1,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,12.92,77.55,139,6.954804468162375,0,2.0,2.0,0,0,0.0,3.0431654676258995,9.883284845218608,2.1727272727,0,0.0,0.0,1668,0,966.7178210745701,167.02470155918155,6014.499602669897,1002.2823959163185
2 wheeler theft,30/11/2014,8:30:00 PM,12.90703588,77.53571479,2014-11-30 00:00:00,08:30:00,2014-11-30 08:30:00,8,6,30,11,4,1,1,0,0,0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,12.9,77.53,64,9.605423830728215,0,2.0,1.6,0,0,0.0,3.15625,6.679019631833019,2.2916666667,0,0.0,0.0,512,0,614.7471251666058,166.59157520760738,6011.787067996224,1000.7562527759767
2 wheeler theft,21/12/2014,7:00:00 PM,12.89157884,77.58142943,2014-12-21 00:00:00,07:00:00,2014-12-21 07:00:00,7,6,21,12,4,1,1,0,0,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,12.89,77.58,77,9.011704119053672,0,2.0,1.6,0,0,0.0,3.6103896103896105,6.970734122703347,2.5138888889,0,0.0,0.0,539,0,693.9012171671327,166.19280498793572,6018.87819240207,1000.1471140167412
2 wheeler theft,30/12/2014,8:00:00 PM,12.87284621,77.58266707,2014-12-30 00:00:00,08:00:00,2014-12-30 08:00:00,8,1,30,12,4,0,1,0,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,12.870000000000001,77.58,44,11.056815975193501,0,2.0,1.6,0,0,0.0,3.522727272727273,6.090659983632512,2.4764097241473597,0,0.0,0.0,352,0,486.49990290851406,165.7101695463114,6019.070229694462,998.7097417537414
Attempted Murder,1/1/2015,2:00 AM,12.933307,77.555896,2015-01-01 00:00:00,02:00:00,2015-01-01 02:00:00,2,3,1,1,1,0,0,0,0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.93,77.55,157,5.976760070485078,3,2.0,3.0,0,0,0.0,3.1019108280254777,15.187785099080902,2.1973684211,0,3.1019108280254777,0.0,314,0,938.3513310661572,167.270429956249,6014.917004362816,1003.054212628072
Ordinary Theft,1/1/2015,12:30,12.92256,77.58698,2015-01-01 00:00:00,12:30:00,2015-01-01 12:30:00,12,3,1,1,1,0,0,1,0,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,12.92,77.58,291,5.515168856773,7,2.0,2.0,0,0,0.0,2.683848797250859,11.353507604536563,1.9756944444,0,0.0,0.0,3492,0,1604.9141373209432,166.99255695360003,6019.7394655204,1002.6224042688
2 wheeler theft,2/1/2015,4:45:00 PM,12.88605,77.494843,2015-01-02 00:00:00,04:45:00,2015-01-02 04:45:00,4,4,2,1,1,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.88,77.49,12,14.40053349976088,0,2.0,3.0,0,0,0.0,3.0833333333333335,7.694848072384611,2.8,0,3.0833333333333335,0.0,48,0,172.80640199713054,166.05028460249997,6005.4506915946495,998.6024216401499
2 wheeler theft,2/1/2015,10:00:00 PM,12.91200222,77.54095249,2015-01-02 00:00:00,10:00:00,2015-01-02 10:00:00,10,4,2,1,1,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.91,77.54,96,8.815725035684162,0,2.0,1.6,0,0,0.0,3.3854166666666665,7.319537565605413,2.5957446809,0,0.0,0.0,960,0,846.3096034256796,166.71980132928493,6012.599313056437,1001.2089506917945
2 wheeler theft,2/1/2015,10:00:00 PM,12.88962293,77.57213196,2015-01-02 00:00:00,10:00:00,2015-01-02 10:00:00,10,4,2,1,1,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.88,77.57000000000001,103,9.435054997437604,0,2.0,1.6,0,0,0.0,3.4271844660194173,7.431025438626197,2.4764097241473597,0,0.0,0.0,1030,0,971.8106647360731,166.14237927758177,6017.435656819653,999.8755308406018
2 wheeler theft,2/1/2015,12:00:00 PM,12.91590055,77.54746898,2015-01-02 00:00:00,12:00:00,2015-01-02 12:00:00,12,4,2,1,1,0,0,1,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,12.91,77.54,96,8.02786524342381,0,2.0,2.0,1,0,0.0,2.692708333333333,9.149421957006766,2.5957446809,0,0.0,0.0,1152,0,770.6750633686856,166.8204870174903,6013.609945204063,1001.59539724989
