Type,Date,Time,Latitude,Longitude,Datetime,hour,is_night,crime_weight,time_weight,risk_score
Murder,29/07/2016,21:00,12.93297,77.58381,2016-07-29 21:00:00,21,1,5.0,1.5,7.5
Murder,13/11/2016,23:45,12.930433,77.549761,2016-11-13 23:45:00,23,1,5.0,1.5,7.5
Murder,10/5/2017,21:00,12.923736,77.58182,2017-05-10 21:00:00,21,1,5.0,1.5,7.5
Murder,19/07/2017,19:30,12.924123,77.576913,2017-07-19 19:30:00,19,1,5.0,1.5,7.5
Murder,21/06/2018,23:30,12.924377,77.582729,2018-06-21 23:30:00,23,1,5.0,1.5,7.5
Murder,17/07/2018,21:15,12.920604,77.520557,2018-07-17 21:15:00,21,1,5.0,1.5,7.5
Murder,18/06/2016,21:00,12.93878218,77.57956109,2016-06-18 21:00:00,21,1,5.0,1.5,7.5
Murder,2/7/2017,18:30,12.9399013,77.57337112,2017-07-02 18:30:00,18,0,5.0,1.0,5.0
Murder,29/07/2019,18:00,12.944557,77.57758,2019-07-29 18:00:00,18,0,5.0,1.0,5.0
Murder,25/03/2016,21:40,"12°55'3.65""N","77°34'6.67""E",2016-03-25 21:40:00,21,1,5.0,1.5,7.5
Murder,26/04/2016,8:15,"12°54'55.52""N","77°33'43.22""E",2016-04-26 08:15:00,8,0,5.0,1.0,5.0
Murder,8/5/2016,6:15,"12°54'54.21""N","77°33'57.57""E",2016-05-08 06:15:00,6,0,5.0,1.0,5.0
Murder,23/05/2016,0:45,"12°55'10.75""N","77°34'26.57""E",2016-05-23 00:45:00,0,1,5.0,1.5,7.5
Murder,2/12/2016,22:30,12.91986,77.56931,2016-12-02 22:30:00,22,1,5.0,1.5,7.5
Murder,9/2/2017,19:00,"12°55'29.68""N","77°34'9.51""E",2017-02-09 19:00:00,19,1,5.0,1.5,7.5
Murder,27/11/2017,11:00,12.958864,77.638363,2017-11-27 11:00:00,11,0,5.0,1.0,5.0
Murder,23/07/2015,16:00,12.946595,77.59197,2015-07-23 16:00:00,16,0,5.0,1.0,5.0
Murder,23/12/2015,16:30,12.945264,77.59271,2015-12-23 16:30:00,16,0,5.0,1.0,5.0
Murder,10/4/2016,22:00,12.946042,77.593699,2016-04-10 22:00:00,22,1,5.0,1.5,7.5
Murder,16/05/2016,21:30,12.946042,77.593699,2016-05-16 21:30:00,21,1,5.0,1.5,7.5
Murder,22/06/2019,2:00,12.944408,77.593165,2019-06-22 02:00:00,2,1,5.0,1.5,7.5
Murder,9/2/2015,15:00,12.90976685,77.55679873,2015-02-09 15:00:00,15,0,5.0,1.0,5.0
Murder,15/03/2015,16:45,12.901082,77.54753806,2015-03-15 16:45:00,16,0,5.0,1.0,5.0
Murder,26/03/2015,21:45,12.86854765,77.5801126,2015-03-26 21:45:00,21,1,5.0,1.5,7.5
Murder,26/02/2017,20:10,12.90245473,77.54181407,2017-02-26 20:10:00,20,1,5.0,1.5,7.5
Murder,12/3/2017,21:00,12.88563257,77.5482591,2017-03-12 21:00:00,21,1,5.0,1.5,7.5
Murder,26/04/2017,23:50,12.88948381,77.56232091,2017-04-26 23:50:00,23,1,5.0,1.5,7.5
Murder,12/1/2018,22:30,12.9057223,77.53558126,2018-01-12 22:30:00,22,1,5.0,1.5,7.5
Murder,8/5/2019,13:00,12.91082367,77.54398174,2019-05-08 13:00:00,13,0,5.0,1.0,5.0
Murder,14/07/2019,21:45,12.913512,77.554144,2019-07-14 21:45:00,21,1,5.0,1.5,7.5
Murder,5/10/2019,17:30,12.91084893,77.53745649,2019-10-05 17:30:00,17,0,5.0,1.0,5.0
Murder,22/02/2015,15:00,12.87583,77.511157,2015-02-22 15:00:00,15,0,5.0,1.0,5.0
Murder,17/03/2015,5:00,12.894725,77.542178,2015-03-17 05:00:00,5,1,5.0,1.5,7.5
Murder,29/03/2015,16:00,12.874853,77.554205,2015-03-29 16:00:00,16,0,5.0,1.0,5.0
Murder,14/1/2016,14:45,12.860873,77.520947,2016-01-14 14:45:00,14,0,5.0,1.0,5.0
Murder,17/01/2017,12:30,12.864755,77.528047,2017-01-17 12:30:00,12,0,5.0,1.0,5.0
Murder,13/04/2017,12:15,12.871198,77.536856,2017-04-13 12:15:00,12,0,5.0,1.0,5.0
Murder,24/04/2017,10:00,12.853954,77.553705,2017-04-24 10:00:00,10,0,5.0,1.0,5.0
Murder,5/8/2017,4:00,12.870574,77.571346,2017-08-05 04:00:00,4,1,5.0,1.5,7.5
Murder,17/08/2017,5:00,12879498,77.542792,2017-08-17 05:00:00,5,1,5.0,1.5,7.5
Murder,22/08/2017,4:00,12.87548,77.535128,2017-08-22 04:00:00,4,1,5.0,1.5,7.5
