feature,importance
is_morning,0.23627810841960747
distance_to_center,0.15980131423316504
Latitude,0.1358847578832113
Longitude,0.13525397324839067
crime_density,0.06863972596770347
day_of_month,0.05142192318034665
hour,0.03300126527774391
hour_cos,0.032771595619621396
hour_sin,0.02718434054074263
month,0.025218588480720942
month_cos,0.018983504312344086
day_of_week,0.016571656560358503
month_sin,0.0155637119100053
day_sin,0.013632891311248306
day_cos,0.007065423703322001
is_night,0.005468663071383882
lon_grid,0.0044485952048099
is_afternoon,0.004054423788926843
is_evening,0.0029976253844379167
quarter,0.0027845894078794516
lat_grid,0.0027008506912302235
is_weekend,0.00027247180280004285
