feature,importance
high_risk_rolling_3,0.9326759532777733
high_risk_lag_2,0.06046484928698935
high_risk_lag_1,0.00488434756294819
total_crime_lag_2,0.00036111103125292414
high_risk_lag_3,0.0003064023984086555
risk_score_rolling_3,0.0002918536520419544
high_risk_rolling_12,0.00018445806288003888
total_crime_lag_3,0.00017501434644502182
high_risk_rolling_6,0.00014423441866096137
risk_score_rolling_12,8.245661848435299e-05
high_risk_lag_6,7.286122273403355e-05
total_crime_lag_1,5.9365600187398436e-05
risk_score_rolling_6,4.7219292320339175e-05
month,4.532840672321591e-05
hour_sin,3.813722410476866e-05
hour,2.858464313010548e-05
hour_cos,2.8309578535410082e-05
day_cos,2.700086755408711e-05
day_sin,1.8319048506971106e-05
high_risk_lag_12,1.6515619146329783e-05
day_of_week,1.6432626643724918e-05
total_crime_lag_6,1.404855438662659e-05
high_risk_lag_24,1.374181854079156e-05
total_crime_lag_12,2.68715561247065e-06
is_weekend,7.344956759539909e-07
total_crime_lag_24,3.319031307070292e-08
